layer_name,parameter_shape,parameter_norm,gradient_norm,update_norm,update_to_weight_ratio,learning_rate,warmup_fraction,schedule_multiplier,optimizer_step,execution_mode
blocks.0.ln1.bias,[64],0.0005584675236605108,0.013357617892324924,0.0004941922961734235,0.8849078509242736,8.999999999999999e-05,0.3,0.3,2,smoke
blocks.0.attn.qkv.weight,"[192, 64]",7.996984481811523,0.1572163850069046,0.006068890914320946,0.0007588974229128659,8.999999999999999e-05,0.3,0.3,2,smoke
blocks.0.attn.proj.weight,"[64, 64]",4.644371032714844,0.18379704654216766,0.003574368078261614,0.0007696129471749451,8.999999999999999e-05,0.3,0.3,2,smoke
blocks.0.ln2.weight,[64],7.999985694885254,0.00938374362885952,0.0004321082669775933,5.401362995609596e-05,8.999999999999999e-05,0.3,0.3,2,smoke
blocks.0.ln2.bias,[64],0.000599128077737987,0.010225901380181313,0.0005231240065768361,0.873142197828376,8.999999999999999e-05,0.3,0.3,2,smoke
blocks.0.mlp.fc1.weight,"[256, 64]",9.292572975158691,0.12802110612392426,0.007389619015157223,0.000795217754534882,8.999999999999999e-05,0.3,0.3,2,smoke
blocks.0.mlp.fc1.bias,[256],1.181013822555542,0.017019934952259064,0.0010232197819277644,0.0008663910297964725,8.999999999999999e-05,0.3,0.3,2,smoke
blocks.0.mlp.fc2.weight,"[64, 256]",4.587664604187012,0.24233709275722504,0.007566005457192659,0.0016492063195481669,8.999999999999999e-05,0.3,0.3,2,smoke
blocks.0.mlp.fc2.bias,[64],0.27708902955055237,0.045488785952329636,0.0005339233903214335,0.0019269019462353854,8.999999999999999e-05,0.3,0.3,2,smoke
blocks.1.ln1.weight,[64],7.999971389770508,0.010374674573540688,0.00044240590068511665,5.5300935357196044e-05,8.999999999999999e-05,0.3,0.3,2,smoke
blocks.1.ln1.bias,[64],0.0005775754107162356,0.012532096356153488,0.0005249888636171818,0.9089529330311297,8.999999999999999e-05,0.3,0.3,2,smoke
blocks.1.attn.qkv.weight,"[192, 64]",8.01546573638916,0.1339622139930725,0.006184195633977652,0.0007715329136649187,8.999999999999999e-05,0.3,0.3,2,smoke
